iter	Passed	Remaining
628	4773	2815
629	4777	2805
630	4781	2796
631	4786	2786
632	4790	2777
633	4794	2767
634	4798	2758
635	4802	2748
636	4806	2739
637	4811	2730
638	4817	2721
639	4824	2713
640	4829	2704
641	4834	2695
642	4838	2686
643	4842	2677
644	4847	2668
645	4851	2658
646	4857	2650
647	4863	2641
648	4868	2632
649	4872	2623
650	4876	2614
651	4881	2605
652	4885	2596
653	4889	2586
654	4893	2577
655	4898	2568
656	4903	2560
657	4908	2551
658	4917	2544
659	4923	2536
660	4930	2528
661	4937	2520
662	4943	2512
663	4948	2504
664	4954	2496
665	4961	2488
666	4969	2480
667	4973	2472
668	4978	2463
669	4982	2454
670	4987	2445
671	4991	2436
672	4996	2427
673	5000	2418
674	5006	2410
675	5011	2401
676	5015	2393
677	5018	2383
678	5022	2374
679	5027	2365
680	5031	2356
681	5035	2347
682	5039	2339
683	5044	2330
684	5048	2321
685	5055	2314
686	5061	2305
687	5067	2297
688	5071	2289
689	5076	2280
690	5080	2272
691	5085	2263
692	5089	2254
693	5093	2245
694	5097	2237
695	5103	2229
696	5109	2221
697	5116	2213
698	5121	2205
699	5126	2197
700	5130	2188
701	5135	2179
702	5139	2171
703	5143	2162
704	5148	2154
705	5153	2146
706	5160	2138
707	5167	2131
708	5171	2122
709	5176	2114
710	5180	2105
711	5184	2097
712	5189	2088
713	5193	2080
714	5197	2071
715	5203	2063
716	5209	2056
717	5214	2047
718	5219	2039
719	5224	2031
720	5230	2023
721	5236	2016
722	5245	2009
723	5251	2002
724	5259	1995
725	5265	1987
726	5269	1978
727	5277	1971
728	5281	1963
729	5286	1955
730	5291	1947
731	5298	1939
732	5308	1933
733	5314	1925
734	5319	1917
735	5323	1909
736	5328	1901
737	5333	1893
738	5336	1884
739	5340	1876
740	5345	1868
741	5351	1860
742	5355	1852
743	5359	1844
744	5363	1835
745	5366	1827
746	5369	1818
747	5372	1810
748	5376	1801
749	5379	1793
750	5382	1784
751	5385	1776
752	5388	1767
753	5391	1759
754	5395	1750
755	5399	1742
756	5402	1734
757	5406	1726
758	5409	1717
759	5412	1709
760	5416	1700
761	5419	1692
762	5422	1684
763	5425	1675
764	5428	1667
765	5431	1659
766	5434	1651
767	5437	1642
768	5441	1634
769	5445	1626
770	5449	1618
771	5453	1610
772	5456	1602
773	5460	1594
774	5463	1586
775	5466	1577
776	5469	1569
777	5472	1561
778	5475	1553
779	5479	1545
780	5482	1537
781	5485	1529
782	5488	1521
783	5491	1513
784	5495	1505
785	5498	1497
786	5502	1489
787	5505	1481
788	5509	1473
789	5512	1465
790	5515	1457
791	5518	1449
792	5521	1441
793	5524	1433
794	5528	1425
795	5531	1417
796	5534	1409
797	5537	1401
798	5541	1394
799	5545	1386
800	5548	1378
801	5552	1370
802	5555	1363
803	5559	1355
804	5562	1347
805	5565	1339
806	5569	1331
807	5572	1324
808	5575	1316
809	5578	1308
810	5582	1301
811	5585	1293
812	5589	1285
813	5593	1278
814	5597	1270
815	5600	1262
816	5604	1255
817	5607	1247
818	5610	1239
819	5613	1232
820	5617	1224
821	5620	1217
822	5623	1209
823	5626	1201
824	5629	1194
825	5632	1186
826	5635	1178
827	5641	1171
828	5645	1164
829	5650	1157
830	5655	1150
831	5658	1142
832	5662	1135
833	5666	1127
834	5669	1120
835	5672	1112
836	5675	1105
837	5678	1097
838	5681	1090
839	5684	1082
840	5688	1075
841	5692	1068
842	5696	1060
843	5699	1053
844	5703	1046
845	5706	1038
846	5709	1031
847	5712	1023
848	5716	1016
849	5719	1009
850	5722	1001
851	5725	994
852	5728	987
853	5731	979
854	5736	972
855	5740	965
856	5743	958
857	5747	951
858	5750	943
859	5756	937
860	5763	930
861	5768	923
862	5774	916
863	5779	909
864	5784	902
865	5791	896
866	5804	890
867	5812	883
868	5817	877
869	5823	870
870	5832	863
871	5842	857
872	5851	851
873	5857	844
874	5866	838
875	5871	831
876	5879	824
877	5888	818
878	5901	812
879	5908	805
880	5931	801
881	5940	794
882	5949	788
883	5961	782
884	5968	775
885	5989	770
886	6004	764
887	6011	758
888	6019	751
889	6025	744
890	6039	738
891	6049	732
892	6056	725
893	6063	718
894	6069	712
895	6073	704
896	6084	698
897	6090	691
898	6098	685
899	6103	678
900	6106	671
901	6110	663
902	6113	656
903	6116	649
904	6122	642
905	6129	635
906	6137	629
907	6145	622
908	6150	615
909	6155	608
910	6161	601
911	6165	594
912	6170	588
913	6177	581
914	6184	574
915	6191	567
916	6196	560
917	6202	554
918	6209	547
919	6214	540
920	6218	533
921	6222	526
922	6230	519
923	6236	512
924	6244	506
925	6249	499
926	6255	492
927	6259	485
928	6264	478
929	6270	471
930	6275	465
931	6284	458
932	6292	451
933	6296	444
934	6308	438
935	6313	431
936	6325	425
937	6330	418
938	6337	411
939	6341	404
940	6345	397
941	6348	390
942	6351	383
943	6354	376
944	6357	370
945	6360	363
946	6363	356
947	6366	349
948	6370	342
949	6376	335
950	6382	328
951	6388	322
952	6392	315
953	6395	308
954	6398	301
955	6401	294
956	6404	287
957	6408	280
958	6411	274
959	6414	267
960	6417	260
961	6422	253
962	6429	247
963	6435	240
964	6439	233
965	6442	226
966	6445	219
967	6449	213
968	6452	206
969	6455	199
970	6458	192
971	6461	186
972	6465	179
973	6468	172
974	6474	166
975	6479	159
976	6484	152
977	6488	145
978	6491	139
979	6494	132
980	6498	125
981	6501	119
982	6504	112
983	6507	105
984	6510	99
985	6514	92
986	6517	85
987	6522	79
988	6526	72
989	6531	65
990	6535	59
991	6538	52
992	6541	46
993	6545	39
994	6549	32
995	6555	26
996	6558	19
997	6562	13
998	6565	6
999	6570	0
